,n,k,differences,percent_diff,matches
580,5000,3,0,0.0,4224
581,5000,3,0,0.0,4193
582,5000,3,0,0.0,4246
583,5000,3,0,0.0,4198
584,5000,3,0,0.0,4226
585,5000,3,0,0.0,4175
586,5000,3,0,0.0,4215
587,5000,3,0,0.0,4181
588,5000,3,0,0.0,4223
589,5000,3,0,0.0,4202
590,5000,3,0,0.0,4180
591,5000,3,0,0.0,4174
592,5000,3,0,0.0,4205
593,5000,3,0,0.0,4223
594,5000,3,0,0.0,4197
595,5000,3,0,0.0,4190
596,5000,3,0,0.0,4212
597,5000,3,0,0.0,4179
598,5000,3,0,0.0,4188
599,5000,3,0,0.0,4183
600,5000,3,4,0.000949667616334283,4212
601,5000,3,0,0.0,4199
602,5000,3,0,0.0,4205
603,5000,3,0,0.0,4216
604,5000,3,0,0.0,4184
605,5000,3,0,0.0,4205
606,5000,3,0,0.0,4204
607,5000,3,0,0.0,4219
608,5000,3,0,0.0,4196
609,5000,3,0,0.0,4215
610,5000,3,0,0.0,4200
611,5000,3,0,0.0,4198
612,5000,3,0,0.0,4214
613,5000,3,0,0.0,4225
614,5000,3,0,0.0,4175
615,5000,3,0,0.0,4211
616,5000,3,6,0.0014228124258951862,4217
617,5000,3,0,0.0,4189
618,5000,3,0,0.0,4212
619,5000,3,0,0.0,4230
620,5000,3,0,0.0,4233
621,5000,3,0,0.0,4196
622,5000,3,0,0.0,4200
623,5000,3,0,0.0,4165
624,5000,3,0,0.0,4225
625,5000,3,0,0.0,4226
626,5000,3,0,0.0,4206
627,5000,3,0,0.0,4209
628,5000,3,0,0.0,4178
629,5000,3,0,0.0,4181
630,5000,3,0,0.0,4198
631,5000,3,0,0.0,4177
632,5000,3,0,0.0,4190
633,5000,3,0,0.0,4167
634,5000,3,0,0.0,4219
635,5000,3,0,0.0,4199
636,5000,3,0,0.0,4195
637,5000,3,0,0.0,4188
638,5000,3,0,0.0,4196
639,5000,3,0,0.0,4208
640,5000,3,0,0.0,4213
641,5000,3,0,0.0,4216
642,5000,3,0,0.0,4174
643,5000,3,0,0.0,4227
644,5000,3,0,0.0,4187
645,5000,3,0,0.0,4204
