,n,k,cycle_lengths,as_percent_of_matches
152,1000,9,14,0.014675052410901468
153,1000,9,88,0.09224318658280922
154,1000,9,209,0.2193074501573977
155,1000,9,8,0.008394543546694649
156,1000,9,7,0.007345225603357817
157,1000,9,3,0.0031479538300104933
158,1000,9,4,0.004197271773347324
159,1000,9,186,0.1935483870967742
160,1000,9,18,0.018730489073881373
161,1000,9,41,0.04266389177939646
162,1000,9,2,0.002081165452653486
163,1000,9,234,0.2450261780104712
164,1000,9,7,0.007329842931937173
165,1000,9,212,0.2206035379812695
166,1000,9,23,0.023933402705515087
167,1000,9,10,0.01040582726326743
168,1000,9,2,0.002081165452653486
169,1000,9,178,0.18426501035196688
170,1000,9,35,0.036231884057971016
171,1000,9,49,0.050724637681159424
172,1000,9,4,0.004140786749482402
173,1000,9,18,0.018633540372670808
174,1000,9,46,0.04737384140061792
175,1000,9,134,0.1380020597322348
176,1000,9,43,0.044284243048403706
177,1000,9,18,0.018537590113285273
178,1000,9,3,0.003089598352214212
179,1000,9,48,0.04994797086368366
180,1000,9,94,0.09781477627471384
181,1000,9,132,0.13735691987513007
182,1000,9,9,0.009365244536940686
183,1000,9,191,0.1987513007284079
184,1000,9,57,0.05931321540062435
185,1000,9,32,0.03329864724245578
186,1000,9,10,0.01040582726326743
187,1000,9,7,0.007284079084287201
188,1000,9,9,0.009365244536940686
189,1000,9,138,0.14360041623309053
190,1000,9,68,0.07075962539021852
191,1000,9,44,0.045785639958376693
192,1000,9,28,0.029136316337148804
193,1000,9,5,0.005202913631633715
194,1000,9,4,0.004162330905306972
195,1000,9,26,0.027168234064785787
196,1000,9,101,0.10553814002089865
197,1000,9,7,0.0073145245559038665
198,1000,9,47,0.04911180773249739
199,1000,9,51,0.05329153605015674
200,1000,9,20,0.02089864158829676
201,1000,9,3,0.003134796238244514
202,1000,9,6,0.006269592476489028
203,1000,9,3,0.003134796238244514
204,1000,9,62,0.06505771248688352
205,1000,9,41,0.04302203567681007
206,1000,9,78,0.08184679958027283
207,1000,9,45,0.0472193074501574
208,1000,9,19,0.01993704092339979
209,1000,9,2,0.002098635886673662
210,1000,9,2,0.002098635886673662
211,1000,9,237,0.24790794979079497
212,1000,9,12,0.012552301255230125
213,1000,9,228,0.23626943005181347
214,1000,9,91,0.09430051813471503
215,1000,9,13,0.013471502590673576
216,1000,9,5,0.0051813471502590676
217,1000,9,86,0.08958333333333333
218,1000,9,43,0.04479166666666667
219,1000,9,17,0.017708333333333333
220,1000,9,13,0.013541666666666667
221,1000,9,4,0.004166666666666667
222,1000,9,2,0.0020833333333333333
223,1000,9,25,0.025906735751295335
224,1000,9,109,0.11295336787564766
225,1000,9,18,0.01865284974093264
226,1000,9,13,0.013471502590673576
227,1000,9,74,0.0766839378238342
228,1000,9,345,0.3608786610878661
229,1000,9,7,0.007322175732217573
230,1000,9,193,0.20104166666666667
231,1000,9,76,0.07916666666666666
232,1000,9,6,0.00625
233,1000,9,6,0.00625
234,1000,9,296,0.30610134436401243
235,1000,9,3,0.0031023784901758012
236,1000,9,3,0.0031023784901758012
237,1000,9,52,0.05394190871369295
238,1000,9,55,0.05705394190871369
239,1000,9,121,0.12551867219917012
240,1000,9,211,0.21887966804979253
241,1000,9,75,0.07780082987551867
242,1000,9,5,0.005186721991701245
