,n,k,n_changes,n_matches
578,2000,8,432,1898
579,2000,8,418,1895
580,2000,8,456,1905
581,2000,8,469,1909
582,2000,8,345,1899
583,2000,8,414,1905
584,2000,8,506,1910
585,2000,8,393,1892
586,2000,8,517,1912
587,2000,8,440,1905
588,2000,8,446,1896
589,2000,8,441,1897
590,2000,8,382,1907
591,2000,8,533,1897
592,2000,8,559,1896
593,2000,8,395,1892
594,2000,8,456,1911
595,2000,8,472,1902
596,2000,8,532,1907
597,2000,8,364,1902
598,2000,8,495,1901
599,2000,8,548,1910
600,2000,8,450,1909
601,2000,8,430,1891
602,2000,8,482,1902
603,2000,8,399,1905
604,2000,8,412,1901
605,2000,8,488,1906
606,2000,8,424,1913
607,2000,8,455,1913
608,2000,8,368,1904
609,2000,8,506,1898
610,2000,8,462,1896
611,2000,8,344,1900
612,2000,8,435,1897
613,2000,8,372,1905
614,2000,8,441,1902
615,2000,8,450,1902
616,2000,8,392,1903
617,2000,8,323,1898
618,2000,8,427,1895
619,2000,8,373,1901
620,2000,8,405,1909
621,2000,8,429,1899
622,2000,8,466,1901
623,2000,8,439,1905
624,2000,8,440,1912
625,2000,8,407,1903
626,2000,8,503,1892
627,2000,8,406,1900
628,2000,8,463,1906
629,2000,8,456,1900
630,2000,8,435,1896
631,2000,8,381,1910
632,2000,8,491,1909
633,2000,8,448,1902
634,2000,8,453,1889
635,2000,8,479,1898
636,2000,8,484,1909
637,2000,8,367,1908
638,2000,8,471,1904
639,2000,8,475,1905
640,2000,8,504,1904
641,2000,8,460,1898
642,2000,8,443,1890
643,2000,8,486,1909
644,2000,8,487,1898
645,2000,8,459,1900
646,2000,8,451,1910
647,2000,8,408,1913
648,2000,8,392,1900
649,2000,8,481,1908
650,2000,8,461,1908
651,2000,8,477,1904
652,2000,8,455,1905
653,2000,8,372,1910
654,2000,8,479,1911
655,2000,8,502,1903
656,2000,8,444,1906
657,2000,8,461,1905
658,2000,8,494,1899
659,2000,8,536,1899
660,2000,8,439,1903
661,2000,8,397,1908
662,2000,8,433,1905
663,2000,8,467,1900
664,2000,8,437,1897
665,2000,8,437,1911
666,2000,8,463,1907
667,2000,8,463,1900
668,2000,8,545,1911
669,2000,8,429,1895
670,2000,8,376,1904
671,2000,8,414,1909
672,2000,8,405,1913
673,2000,8,372,1895
674,2000,8,453,1905
675,2000,8,529,1905
676,2000,8,398,1906
677,2000,8,450,1907
678,2000,8,476,1905
679,2000,8,489,1914
680,2000,8,340,1894
681,2000,8,424,1905
682,2000,8,417,1901
683,2000,8,453,1911
684,2000,8,498,1911
685,2000,8,542,1895
686,2000,8,284,1897
687,2000,8,486,1900
688,2000,8,343,1895
689,2000,8,433,1906
690,2000,8,509,1902
691,2000,8,540,1900
692,2000,8,447,1902
693,2000,8,385,1913
694,2000,8,465,1906
695,2000,8,499,1900
696,2000,8,446,1902
697,2000,8,405,1907
698,2000,8,427,1903
699,2000,8,503,1902
700,2000,8,487,1906
701,2000,8,356,1901
702,2000,8,484,1906
703,2000,8,418,1897
704,2000,8,491,1911
705,2000,8,452,1903
706,2000,8,407,1897
707,2000,8,451,1903
708,2000,8,612,1907
709,2000,8,461,1903
710,2000,8,442,1896
711,2000,8,498,1902
712,2000,8,345,1910
713,2000,8,422,1900
714,2000,8,385,1904
715,2000,8,366,1898
716,2000,8,428,1904
717,2000,8,432,1896
718,2000,8,491,1900
719,2000,8,514,1898
720,2000,8,458,1907
721,2000,8,416,1904
722,2000,8,370,1905
723,2000,8,455,1892
724,2000,8,440,1911
725,2000,8,383,1906
726,2000,8,540,1900
727,2000,8,424,1905
728,2000,8,470,1909
729,2000,8,472,1910
730,2000,8,347,1896
731,2000,8,265,1899
732,2000,8,538,1910
733,2000,8,411,1913
734,2000,8,428,1902
735,2000,8,525,1900
736,2000,8,458,1911
737,2000,8,316,1905
738,2000,8,463,1899
739,2000,8,442,1908
740,2000,8,460,1908
741,2000,8,464,1909
742,2000,8,387,1895
743,2000,8,380,1896
744,2000,8,462,1895
745,2000,8,526,1903
746,2000,8,391,1896
747,2000,8,437,1907
748,2000,8,559,1895
749,2000,8,425,1912
750,2000,8,393,1900
751,2000,8,445,1910
752,2000,8,408,1897
753,2000,8,550,1899
754,2000,8,528,1907
755,2000,8,440,1907
756,2000,8,453,1904
757,2000,8,403,1903
758,2000,8,478,1907
759,2000,8,473,1904
760,2000,8,481,1905
761,2000,8,472,1889
762,2000,8,398,1899
763,2000,8,392,1905
764,2000,8,325,1888
765,2000,8,504,1903
766,2000,8,418,1902
767,2000,8,300,1900
768,2000,8,377,1893
769,2000,8,412,1907
770,2000,8,483,1899
771,2000,8,389,1908
772,2000,8,492,1904
773,2000,8,352,1896
774,2000,8,429,1904
775,2000,8,421,1907
776,2000,8,439,1906
777,2000,8,440,1909
778,2000,8,439,1899
779,2000,8,370,1911
780,2000,8,394,1902
781,2000,8,433,1906
782,2000,8,499,1903
783,2000,8,416,1898
784,2000,8,403,1899
785,2000,8,466,1905
786,2000,8,432,1910
787,2000,8,508,1906
788,2000,8,402,1894
789,2000,8,415,1896
790,2000,8,379,1902
791,2000,8,450,1910
792,2000,8,521,1907
793,2000,8,509,1909
794,2000,8,425,1910
795,2000,8,428,1904
796,2000,8,478,1895
797,2000,8,352,1910
798,2000,8,522,1912
799,2000,8,413,1901
800,2000,8,426,1905
801,2000,8,491,1916
802,2000,8,483,1897
803,2000,8,409,1910
804,2000,8,356,1900
805,2000,8,391,1911
806,2000,8,408,1900
807,2000,8,394,1901
808,2000,8,478,1908
809,2000,8,387,1900
810,2000,8,495,1905
811,2000,8,481,1900
812,2000,8,470,1905
813,2000,8,426,1903
814,2000,8,404,1893
815,2000,8,520,1911
816,2000,8,399,1910
817,2000,8,365,1896
818,2000,8,507,1905
819,2000,8,398,1908
820,2000,8,449,1904
821,2000,8,443,1912
822,2000,8,545,1899
823,2000,8,447,1904
824,2000,8,421,1910
825,2000,8,450,1911
826,2000,8,413,1900
827,2000,8,527,1902
828,2000,8,371,1899
829,2000,8,328,1898
830,2000,8,413,1897
831,2000,8,524,1911
832,2000,8,540,1906
833,2000,8,310,1891
834,2000,8,426,1901
835,2000,8,410,1896
836,2000,8,451,1897
837,2000,8,508,1911
838,2000,8,446,1902
839,2000,8,433,1896
840,2000,8,481,1903
841,2000,8,398,1893
842,2000,8,534,1904
843,2000,8,502,1902
844,2000,8,526,1911
845,2000,8,435,1904
846,2000,8,504,1906
847,2000,8,457,1907
848,2000,8,450,1896
849,2000,8,428,1910
850,2000,8,348,1906
851,2000,8,433,1905
852,2000,8,429,1905
853,2000,8,404,1894
854,2000,8,422,1903
855,2000,8,428,1899
856,2000,8,481,1903
857,2000,8,492,1909
858,2000,8,467,1908
859,2000,8,464,1892
860,2000,8,432,1904
861,2000,8,500,1899
862,2000,8,465,1902
863,2000,8,464,1900
864,2000,8,431,1900
865,2000,8,454,1902
866,2000,8,437,1899
867,2000,8,473,1881
868,2000,8,384,1902
869,2000,8,463,1896
870,2000,8,486,1896
871,2000,8,491,1908
872,2000,8,444,1903
873,2000,8,374,1911
874,2000,8,497,1908
875,2000,8,491,1905
876,2000,8,481,1893
877,2000,8,337,1900
878,2000,8,483,1911
879,2000,8,502,1903
880,2000,8,414,1905
881,2000,8,481,1890
882,2000,8,370,1930
883,2000,8,468,1903
884,2000,8,520,1904
885,2000,8,458,1905
886,2000,8,407,1901
887,2000,8,460,1899
888,2000,8,450,1901
889,2000,8,453,1903
890,2000,8,369,1906
891,2000,8,402,1898
892,2000,8,521,1910
893,2000,8,397,1889
894,2000,8,453,1895
895,2000,8,522,1912
896,2000,8,416,1889
897,2000,8,499,1902
898,2000,8,301,1906
899,2000,8,441,1923
900,2000,8,476,1891
901,2000,8,434,1900
902,2000,8,458,1908
903,2000,8,410,1899
904,2000,8,487,1909
905,2000,8,414,1902
906,2000,8,475,1906
907,2000,8,502,1906
908,2000,8,430,1911
909,2000,8,375,1905
910,2000,8,366,1907
911,2000,8,460,1896
912,2000,8,482,1908
913,2000,8,463,1907
914,2000,8,438,1905
915,2000,8,480,1910
916,2000,8,467,1900
917,2000,8,375,1901
918,2000,8,421,1903
919,2000,8,443,1901
920,2000,8,484,1904
921,2000,8,463,1900
922,2000,8,406,1902
923,2000,8,427,1912
924,2000,8,404,1901
925,2000,8,406,1895
926,2000,8,474,1905
927,2000,8,466,1907
928,2000,8,410,1906
929,2000,8,450,1907
930,2000,8,440,1898
931,2000,8,425,1912
932,2000,8,453,1896
933,2000,8,437,1908
934,2000,8,445,1895
935,2000,8,333,1899
936,2000,8,432,1891
937,2000,8,496,1908
938,2000,8,423,1905
939,2000,8,549,1904
940,2000,8,463,1901
941,2000,8,476,1909
942,2000,8,356,1902
943,2000,8,526,1903
944,2000,8,526,1902
945,2000,8,358,1904
946,2000,8,462,1899
947,2000,8,399,1899
948,2000,8,430,1903
949,2000,8,435,1894
950,2000,8,502,1900
951,2000,8,418,1895
952,2000,8,389,1893
953,2000,8,536,1902
954,2000,8,398,1907
955,2000,8,456,1911
956,2000,8,551,1899
957,2000,8,491,1898
958,2000,8,413,1897
959,2000,8,370,1909
960,2000,8,486,1904
961,2000,8,498,1905
962,2000,8,414,1895
963,2000,8,479,1902
964,2000,8,487,1901
965,2000,8,500,1900
966,2000,8,498,1898
967,2000,8,462,1906
968,2000,8,460,1906
969,2000,8,317,1898
970,2000,8,437,1904
971,2000,8,442,1904
972,2000,8,463,1905
973,2000,8,453,1894
974,2000,8,416,1908
975,2000,8,381,1906
976,2000,8,415,1904
977,2000,8,449,1894
978,2000,8,409,1904
979,2000,8,417,1901
980,2000,8,375,1893
981,2000,8,507,1908
982,2000,8,349,1911
983,2000,8,439,1897
984,2000,8,442,1900
985,2000,8,499,1909
986,2000,8,405,1907
987,2000,8,516,1913
988,2000,8,421,1900
989,2000,8,427,1914
990,2000,8,455,1909
991,2000,8,483,1900
992,2000,8,379,1890
993,2000,8,456,1900
994,2000,8,446,1903
995,2000,8,493,1905
996,2000,8,439,1898
997,2000,8,471,1906
998,2000,8,467,1900
999,2000,8,522,1901
