,n,k,n_changes_eadam,n_matches
508,2000,8,694,1898
509,2000,8,646,1899
510,2000,8,564,1902
511,2000,8,546,1906
512,2000,8,494,1904
513,2000,8,688,1908
514,2000,8,544,1908
515,2000,8,654,1906
516,2000,8,600,1906
517,2000,8,648,1905
518,2000,8,630,1898
519,2000,8,434,1901
520,2000,8,426,1904
521,2000,8,636,1892
522,2000,8,568,1896
523,2000,8,512,1905
524,2000,8,422,1901
525,2000,8,534,1905
526,2000,8,536,1910
527,2000,8,480,1910
528,2000,8,554,1911
529,2000,8,590,1903
530,2000,8,526,1904
531,2000,8,592,1913
532,2000,8,580,1908
533,2000,8,564,1901
534,2000,8,380,1902
535,2000,8,450,1903
536,2000,8,488,1897
537,2000,8,550,1895
538,2000,8,558,1904
539,2000,8,606,1908
540,2000,8,604,1909
541,2000,8,588,1904
542,2000,8,424,1908
543,2000,8,430,1903
544,2000,8,668,1904
545,2000,8,654,1910
546,2000,8,646,1901
547,2000,8,426,1908
548,2000,8,694,1905
549,2000,8,778,1906
550,2000,8,674,1904
551,2000,8,584,1899
552,2000,8,536,1911
553,2000,8,554,1904
554,2000,8,544,1909
555,2000,8,602,1895
556,2000,8,532,1903
557,2000,8,466,1907
558,2000,8,640,1904
559,2000,8,618,1902
560,2000,8,658,1900
561,2000,8,500,1910
562,2000,8,568,1899
563,2000,8,542,1900
564,2000,8,662,1902
565,2000,8,456,1904
566,2000,8,640,1905
567,2000,8,564,1902
568,2000,8,594,1900
569,2000,8,426,1896
570,2000,8,690,1914
571,2000,8,602,1902
572,2000,8,576,1895
573,2000,8,572,1907
574,2000,8,482,1896
575,2000,8,650,1905
576,2000,8,538,1902
577,2000,8,568,1918
578,2000,8,552,1898
579,2000,8,514,1895
580,2000,8,598,1905
581,2000,8,610,1909
582,2000,8,418,1899
583,2000,8,492,1905
584,2000,8,670,1910
585,2000,8,472,1892
586,2000,8,628,1912
587,2000,8,562,1905
588,2000,8,610,1896
589,2000,8,538,1897
590,2000,8,476,1907
591,2000,8,700,1897
592,2000,8,650,1896
593,2000,8,456,1892
594,2000,8,562,1911
595,2000,8,608,1902
596,2000,8,680,1907
597,2000,8,406,1902
598,2000,8,672,1901
599,2000,8,644,1910
600,2000,8,580,1909
601,2000,8,574,1891
602,2000,8,550,1902
603,2000,8,442,1905
604,2000,8,588,1901
605,2000,8,620,1906
606,2000,8,488,1913
607,2000,8,614,1913
608,2000,8,432,1904
609,2000,8,680,1898
610,2000,8,600,1896
611,2000,8,432,1900
612,2000,8,608,1897
613,2000,8,498,1905
