,n,k,cycle_lengths_eadam,as_percent_of_matches_eadam
8582,1000,5,6,0.006586169045005488
8583,1000,5,23,0.025027203482045703
8584,1000,5,4,0.004352557127312296
8585,1000,5,3,0.003264417845484222
8586,1000,5,12,0.013157894736842105
8587,1000,5,4,0.0043859649122807015
8588,1000,5,3,0.003303964757709251
8589,1000,5,22,0.024229074889867842
8590,1000,5,7,0.007709251101321586
8591,1000,5,15,0.016611295681063124
8592,1000,5,5,0.005537098560354375
8593,1000,5,2,0.0022148394241417496
8594,1000,5,9,0.009966777408637873
8595,1000,5,5,0.0055248618784530384
8596,1000,5,9,0.009944751381215469
8597,1000,5,2,0.0022099447513812156
8598,1000,5,5,0.005537098560354375
8599,1000,5,6,0.006644518272425249
8600,1000,5,5,0.005537098560354375
8601,1000,5,2,0.0022148394241417496
8602,1000,5,12,0.013201320132013201
8603,1000,5,15,0.0165016501650165
8604,1000,5,7,0.007700770077007701
8605,1000,5,12,0.013201320132013201
8606,1000,5,18,0.019867549668874173
8607,1000,5,5,0.005518763796909493
8608,1000,5,4,0.0043859649122807015
8609,1000,5,4,0.0043859649122807015
8610,1000,5,6,0.006578947368421052
8611,1000,5,7,0.00772626931567329
8612,1000,5,7,0.007717750826901874
8613,1000,5,3,0.0033076074972436605
8614,1000,5,6,0.006578947368421052
8615,1000,5,18,0.019736842105263157
8616,1000,5,3,0.003289473684210526
8617,1000,5,4,0.0043859649122807015
8618,1000,5,10,0.011025358324145534
8619,1000,5,11,0.012127894156560088
8620,1000,5,31,0.034178610804851156
8621,1000,5,2,0.002205071664829107
8622,1000,5,6,0.006564551422319475
8623,1000,5,2,0.002188183807439825
8624,1000,5,2,0.002188183807439825
8625,1000,5,3,0.00331858407079646
8626,1000,5,7,0.007641921397379912
8627,1000,5,5,0.0054585152838427945
8628,1000,5,15,0.016538037486218304
8629,1000,5,17,0.018743109151047408
8630,1000,5,3,0.0033076074972436605
8631,1000,5,3,0.0033076074972436605
8632,1000,5,9,0.009922822491730982
8633,1000,5,3,0.0033076074972436605
8634,1000,5,2,0.0022026431718061676
8635,1000,5,7,0.007709251101321586
8636,1000,5,2,0.0022026431718061676
8637,1000,5,4,0.004405286343612335
8638,1000,5,3,0.003303964757709251
8639,1000,5,5,0.005506607929515419
8640,1000,5,2,0.0022026431718061676
8641,1000,5,14,0.015401540154015401
8642,1000,5,2,0.0022002200220022
8643,1000,5,7,0.00782122905027933
8644,1000,5,5,0.00558659217877095
8645,1000,5,5,0.005482456140350877
8646,1000,5,7,0.007751937984496124
8647,1000,5,4,0.004429678848283499
8648,1000,5,2,0.002197802197802198
8649,1000,5,6,0.006593406593406593
8650,1000,5,12,0.013259668508287293
8651,1000,5,5,0.0055248618784530384
8652,1000,5,18,0.019889502762430938
8653,1000,5,18,0.019693654266958426
8654,1000,5,4,0.00437636761487965
8655,1000,5,11,0.012035010940919038
8656,1000,5,16,0.017679558011049725
8657,1000,5,7,0.0077348066298342545
8658,1000,5,9,0.009944751381215469
8659,1000,5,9,0.009944751381215469
8660,1000,5,32,0.03532008830022075
8661,1000,5,16,0.017660044150110375
8662,1000,5,7,0.00772626931567329
8663,1000,5,6,0.006622516556291391
8664,1000,5,4,0.004415011037527594
8665,1000,5,3,0.0033076074972436605
8666,1000,5,5,0.005512679162072767
8667,1000,5,4,0.0044444444444444444
8668,1000,5,18,0.02
8669,1000,5,7,0.0077777777777777776
8670,1000,5,6,0.006666666666666667
8671,1000,5,11,0.012048192771084338
8672,1000,5,6,0.006615214994487321
8673,1000,5,7,0.007717750826901874
8674,1000,5,16,0.017640573318632856
8675,1000,5,4,0.004410143329658214
8676,1000,5,22,0.024070021881838075
8677,1000,5,5,0.005470459518599562
8678,1000,5,4,0.004362050163576881
8679,1000,5,14,0.015469613259668509
8680,1000,5,13,0.014364640883977901
8681,1000,5,2,0.0022099447513812156
8682,1000,5,18,0.01991150442477876
8683,1000,5,2,0.0022123893805309734
8684,1000,5,5,0.0055309734513274336
8685,1000,5,9,0.009944751381215469
8686,1000,5,12,0.013259668508287293
8687,1000,5,7,0.0077348066298342545
8688,1000,5,8,0.008820286659316428
8689,1000,5,8,0.008820286659316428
8690,1000,5,12,0.013230429988974642
8691,1000,5,2,0.002205071664829107
8692,1000,5,42,0.04600219058050383
8693,1000,5,4,0.004381161007667032
8694,1000,5,2,0.002190580503833516
8695,1000,5,4,0.004381161007667032
8696,1000,5,5,0.0054466230936819175
8697,1000,5,2,0.002188183807439825
8698,1000,5,8,0.0087527352297593
8699,1000,5,3,0.0032822757111597373
8700,1000,5,3,0.0032822757111597373
8701,1000,5,14,0.015317286652078774
8702,1000,5,7,0.007633587786259542
8703,1000,5,7,0.007633587786259542
8704,1000,5,3,0.003271537622682661
8705,1000,5,12,0.013086150490730643
8706,1000,5,10,0.010893246187363835
8707,1000,5,7,0.007717750826901874
8708,1000,5,6,0.006615214994487321
8709,1000,5,12,0.013186813186813187
8710,1000,5,11,0.012087912087912088
8711,1000,5,5,0.005494505494505495
8712,1000,5,7,0.0077348066298342545
8713,1000,5,12,0.013259668508287293
8714,1000,5,9,0.009944751381215469
8715,1000,5,3,0.0033149171270718232
8716,1000,5,5,0.0055248618784530384
8717,1000,5,6,0.006557377049180328
8718,1000,5,5,0.00546448087431694
8719,1000,5,6,0.006557377049180328
8720,1000,5,5,0.00546448087431694
8721,1000,5,4,0.004371584699453552
8722,1000,5,8,0.008830022075055188
8723,1000,5,7,0.00772626931567329
8724,1000,5,15,0.01644736842105263
8725,1000,5,5,0.005482456140350877
8726,1000,5,14,0.015317286652078774
8727,1000,5,3,0.0032822757111597373
8728,1000,5,2,0.002188183807439825
8729,1000,5,10,0.01107419712070875
8730,1000,5,9,0.009966777408637873
8731,1000,5,9,0.009966777408637873
8732,1000,5,5,0.005537098560354375
8733,1000,5,2,0.0022148394241417496
8734,1000,5,10,0.01092896174863388
8735,1000,5,5,0.005555555555555556
8736,1000,5,8,0.008743169398907104
8737,1000,5,12,0.013114754098360656
8738,1000,5,4,0.004371584699453552
8739,1000,5,3,0.003278688524590164
8740,1000,5,5,0.005500550055005501
8741,1000,5,4,0.0044004400440044
8742,1000,5,3,0.0033003300330033004
8743,1000,5,6,0.006528835690968444
8744,1000,5,8,0.008705114254624592
8745,1000,5,3,0.003264417845484222
8746,1000,5,2,0.002176278563656148
8747,1000,5,15,0.016411378555798686
8748,1000,5,2,0.002188183807439825
8749,1000,5,4,0.004371584699453552
8750,1000,5,3,0.003278688524590164
8751,1000,5,5,0.00546448087431694
8752,1000,5,2,0.002185792349726776
8753,1000,5,8,0.008791208791208791
8754,1000,5,5,0.005494505494505495
8755,1000,5,4,0.004434589800443459
8756,1000,5,29,0.03215077605321508
8757,1000,5,7,0.007751937984496124
8758,1000,5,6,0.006644518272425249
8759,1000,5,3,0.0033222591362126247
8760,1000,5,5,0.005543237250554324
8761,1000,5,9,0.009977827050997782
8762,1000,5,24,0.02631578947368421
8763,1000,5,4,0.0043859649122807015
8764,1000,5,8,0.008869179600886918
8765,1000,5,4,0.004434589800443459
8766,1000,5,19,0.020719738276990186
8767,1000,5,24,0.026172300981461286
8768,1000,5,4,0.004362050163576881
8769,1000,5,11,0.012249443207126948
8770,1000,5,2,0.0022271714922048997
8771,1000,5,4,0.004454342984409799
8772,1000,5,7,0.007751937984496124
8773,1000,5,14,0.015267175572519083
8774,1000,5,5,0.0054525627044711015
8775,1000,5,20,0.02185792349726776
8776,1000,5,7,0.007650273224043716
8777,1000,5,2,0.002185792349726776
8778,1000,5,2,0.002185792349726776
8779,1000,5,2,0.002185792349726776
8780,1000,5,9,0.01002227171492205
8781,1000,5,12,0.013363028953229399
8782,1000,5,8,0.008908685968819599
8783,1000,5,2,0.0022271714922048997
8784,1000,5,6,0.006586169045005488
8785,1000,5,10,0.010976948408342482
8786,1000,5,2,0.0021953896816684962
8787,1000,5,8,0.008830022075055188
8788,1000,5,7,0.0078125
8789,1000,5,5,0.005580357142857143
8790,1000,5,22,0.02430939226519337
8791,1000,5,2,0.0022099447513812156
